"","BAD","BID","MRE11","BAK1","CDH1","RAD51","ERBB3","YBX1","TP53BP1","XRCC1","ARAF","XRCC5","PGR","GSK3B","BAX","ESR1","MAPK1","MAPK3","TSC2","RAB11A","CCNE1","AKT2","GSK3A","CAV1","SERPINE1","GATA3","MAPK8","RPS6KB1","INPP4B","BIRC2","FOXM1","CDKN1B","GAPDH","MAPK14","RAD50","FN1","AKT3","RPS6KA1","RAF1","PCNA","MYH11","CCNB1","RPS6","BRCA2","RB1","TP53","ERBB2","COL6A1","AKT1","EGFR","ATM","CHEK1","BCL2L11","SHC1","RBM15","CASP7","CTNNB1","MAP2K1","AR","CDK1","CDH2","BCL2L1","BCL2","PTEN","CCNE2","JUN","CLDN7","CHEK2","RAB11B","EIF4EBP1","SRC","MTOR","AKT1S1"
"ACH-000621",6.1785154701886,5.36387192485753,3.63575439127776,5.06910063192283,0.910732661902913,4.2364926183813,0.516015147003665,10.2555007331484,4.42021289061078,3.877744249949,6.29590665529703,7.42164409404827,0.16349873228288,4.36106648879432,6.24317398347295,0.150559676575381,5.1647058401828,4.73063995591679,5.45713459431804,7.42618087464504,7.48123434952853,4.71644223684332,4.51412226017071,7.06069593168755,3.28835856219366,0.298658315564515,4.72846476509253,5.41582625747291,1.08406426478847,4.67355642399014,5.08023127201926,3.4905701304462,10.7294508048002,4.80322703643493,3.84799690655495,9.29863540673424,4.74523733212975,3.8011586560937,6.89615073097656,8.36732737872737,0.53605290024021,7.2803068064537,11.0162511550127,2.4541758931858,3.01970191444255,3.5957423394744,4.51349074558812,8.05880351779563,7.47800105583793,3.5668151540109,4.46597446450407,5.39197388306029,3.41953889151378,5.76712507726907,3.22187708107703,4.15137177625395,6.76950729143624,4.73281187208294,0.0285691521967709,6.65806863458683,4.03826057517535,4.50652577904312,0.933572638261024,4.37989816352469,5.46401472450489,4.26753579806874,0.495695162624069,5.01925711868108,6.18388345903223,7.1509657835565,4.03826057517535,5.75408578219791,3.72683121703249
"ACH-000635",6.83920378809694,5.81890167588564,4.65363331138625,5.35684807923652,6.37225564844579,4.82374936030827,5.29939120612683,9.93963797869998,4.11103131238874,5.74119729857143,5.59395128394841,6.83958173728678,0.0143552929770701,5.17432651517391,7.67178871842323,0.31034012061215,5.46695333712393,6.01970191444255,4.75328361646088,7.63959394950412,4.76924279514054,6.29572302453997,5.73957811204805,2.31034012061215,3.23419472295381,0.565597175854225,4.30012372456901,3.57167680997093,4.4666271200415,4.88068552526112,6.06026359873829,6.18428029441938,11.9669379792785,6.01368556992865,3.605257262939,3.82273014794452,4.15623479785027,4.95791459863299,5.75835648293992,7.55926235872489,0.422233000683048,7.19810120932482,11.3734089602287,2.02502879449152,1.48026512205446,5.02945288578697,7.95110983224164,3.74738739965272,5.96254902292306,3.78240856492737,4.02680005934372,5.10475598696226,3.13422093976063,6.51884982870769,3.52732060787705,2.877744249949,7.34127418369217,5.39334755137725,0.0285691521967709,6.26284654268607,0.214124805352847,7.48727731321378,0.356143810225275,4.42021289061078,4.80889983925777,5.52857131887076,8.11629197129022,4.31469652565629,6.97223312380739,6.31542131594578,3.77610398807316,5.21218021004443,5.601993581249
"ACH-000643",4.94906796585291,4.89190518821193,2.790772037862,4.06608919045777,6.98720715597523,3.67355642399014,5.1197711619529,8.67369774691144,4.08236196955747,5.09339115325301,4.24412594328373,5.30706416225537,0.0143552929770701,3.52481592835751,6.56453060081634,1.41142624572647,4.24792751344359,4.88362081628567,4.6450098843911,7.06770324437316,3.56315813040281,5.36317107711924,4.12680770314203,8.79620188260992,3.65420637794429,4.93121027480393,3.85399564717639,3.88947354253111,3.91073266190291,4.22419466397043,5.10768786931437,4.78607355157855,11.2256894600154,4.32696871158789,3.27798474729977,4.58676474335514,3.45680614923047,3.82476785314329,4.66845955691538,6.14425035619052,0.250961573533219,7.06759569694004,9.94695012470308,2.50080205305716,3.50080205305716,3.90207357931074,5.46923479366766,6.6471705782814,5.31795521831244,4.4541758931858,3.09423606984577,4.39711840904258,2.38128337250378,5.76473892302338,2.63923216324928,3.6507645591169,6.58255600301406,4.65133876610593,0,5.05788344889963,3.0408924306469,6.25417828621676,0.344828496997441,3.48928602262588,2.68257329734758,5.47961860846942,7.9431008475708,4.02059109477325,6.74443022998792,5.20867331962947,3.64846544302731,3.90689059560852,4.43762724831895
"ACH-000646",4.59872249967662,2.73335434061383,2.53106949272595,4.21955576916691,5.22110372536788,2.10768786931437,4.30231905094883,8.51380653743372,3.04788732939655,4.10601323762212,3.92599941855622,5.4239142676731,0,2.18269229751619,7.54959216744175,0,2.87381319835909,3.13422093976063,4.42021289061078,6.122258567812,4.78188423454149,4.85798099512757,3.67694435910691,2.56071495447448,1.32192809488736,0.0426443374084937,3.0408924306469,3.10601323762212,0.545968369105293,3.64731450954714,3.15055967657538,3.28983446517751,11.207807462334,2.63226821549951,1.97085365434048,2.33342373372519,0.0840642647884745,4.5216789516032,4.69877410890368,5.73876783680019,0.124328135002202,6.00180224263399,9.43681562893361,1.1243281350022,2.45154083301783,1.88752527074159,4.5957423394744,3.19377174339668,4.34978987024187,2.79285535236249,3.53231695933277,3.15218341905505,2.72900887033786,5.74119729857143,1.87578006306849,2.34482849699744,5.56437816856506,3.4995270242151,0.0143552929770701,4.67355642399014,0.150559676575381,5.65935375917005,0.0285691521967709,3.22958792274065,0.782408564927373,2.43562859405209,5.27164977245721,3.90689059560852,3.78764141448333,4.3212065669699,4.19613488076516,3.24792751344359,4.3327079336406
"ACH-000657",5.34198574722862,4.99095486039699,3.81557542886257,4.23112515787905,0.22650852980868,4.48026512205446,1.82781902461732,9.84017995441563,5.59395128394841,5.46041493916217,5.20633064787105,7.93445752821591,0,4.12018602753186,8.11191811355546,0.0285691521967709,5.11186596386756,4.82629424549963,5.32948243102564,7.70348834965682,5.64990281989314,6.07017462515406,5.89772447021644,1.16349873228288,0.7311832415722,0.0840642647884745,4.31397137105902,4.67016051412663,2.86591881455221,5.22110372536788,6.1319598228983,5.42223300068305,11.5690960952621,4.50525580093216,4.27351588970212,1.30451104180995,0.31034012061215,4.49313492230551,5.97131362406888,8.09127669436522,0.422233000683048,8.20442442203871,10.1203674937152,2.56071495447448,3.38818953715608,5.89602960297675,5.33199177823206,4.28243980500639,7.07724299893246,1.4541758931858,4.80012335282653,5.45022149589718,1.35049724708413,8.70722106853315,3.97452931248388,4.6450098843911,7.29801673077034,5.3037807481771,0.070389327891398,7.24716800037477,4.53356334821451,4.66163560233596,1.56559717585423,4.08406426478847,2.8972404255748,0.475084882948783,1.66448284036468,5.71232064074163,6.37295209791183,7.64363976928665,4.12845838414693,4.9429835981871,6.01457846492289
"ACH-000663",5.13216552547809,4.84498815668261,2.50080205305716,3.99638874644762,0.31034012061215,3.98093926608551,0.400537929583729,9.53964350623804,2.51096191927738,3.71479501111816,4.34624777408278,6.4245862262511,0,3.0703893278914,7.8072261042495,0.0143552929770701,4.98048235553826,4.75542173473424,4.09254574154357,7.60310702966491,3.43162295971329,4.45746296464855,3.87970576628229,8.15734693536284,5.876516946565,1.10433665981474,4.7338966052475,3.75702324650746,2.99276843076892,4.27798474729977,4.92789645372882,4.48349335128439,12.7859019631545,3.85996954822103,2.86987140617771,4.33556900555675,3.0071955014042,4.90785207184596,4.77505054148317,8.10653676886889,0.333423733725192,7.52669484554198,10.4051414631363,2.90689059560852,3.77820857639809,4.83794324189103,4.39231742277876,4.09339115325301,6.19554445921369,4.88752527074159,3.22496636500027,4.42425028608405,1.790772037862,5.68565987743181,1.67355642399014,4.94953493301701,6.6659043549549,5.51254295509686,0.0143552929770701,6.42727093517358,0.0565835283663675,6.30305008468167,0.516015147003665,4.73335434061383,3.23878685958712,5.32048467801769,1.86393845042397,3.95233356636969,5.19495379593384,6.63401235640212,2.15704371014558,3.46988597627446,3.78135971352466
"ACH-000668",5.75942218569633,6.4947356048628,4.25550073314839,4.33485426933163,8.11623997946937,5.12391445900198,5.79207446192887,9.86916197250175,4.73443866613717,5.29388543030237,4.32048467801769,6.95872669831156,0.0285691521967709,5.63691458035588,7.4154882710497,1.43829285157915,6.22458056608344,7.04154964501142,6.16450472565806,8.34029521043048,4.28688114778816,6.36246988875021,5.21723071622067,6.65162578392064,0.823749360308273,5.36422222109353,5.09718938723511,3.52230689287139,3.65306001710456,5.00764403087801,6.64659470958165,5.49569516262407,11.7871679688198,5.15380533607904,4.27872821293894,5.57076649652761,0.0840642647884745,5.915759896038,5.77346892790519,8.60622012128167,0.641546029087524,7.54272236185832,10.9280741729531,3.20476675065461,3.48155728070859,5.83895176695194,5.41379715018921,0.925999418556223,6.91408609701272,6.36772051340145,4.11603199344711,5.5933537709803,4.24944534108584,6.61072958653471,3.69821847822441,5.16027483140859,6.78777199284617,6.42794133250948,1.31614574229336,7.01055607837421,0.176322772640463,5.70514852825302,0.55581615506164,3.76977173924945,5.67129337248158,6.51711818515321,8.46254317053042,5.43762724831895,6.31994302415705,5.61882595258744,3.69932952567316,5.68369645430652,6.76725752574664
"ACH-000688",6.06156020910797,5.40429006444484,3.55826763405574,4.40122086216022,1.25701061820602,4.47508488294878,0.622930350920177,10.1315997727944,4.05398016818765,5.08406426478847,5.43095427138573,7.66448284036468,0.0143552929770701,4.8094144442359,6.85299758761332,0.0285691521967709,5.95953834111265,5.15340002773506,5.16631374788993,8.17946128758103,4.11103131238874,5.71506967937999,5.71561885907482,9.40705527510069,10.0413853694861,0.0840642647884745,4.62117275268344,3.99457972421575,3.24640808724638,4.97223312380739,5.41413553298445,3.19534759832222,11.9872995459955,4.91790907385298,4.67185946824748,13.6544122681489,3.50462039240355,3.66220549965362,6.55259225418735,7.99842118872913,0.176322772640463,8.29117069932186,10.5999128421871,2.04614178164472,0.910732661902913,4.95373084981149,1.22032995487956,3.99095486039699,7.22583403553784,4.94626298433245,4.11186596386756,5.7279204545632,1.68706068833989,8.10559427579519,2.28983446517751,2.96532254836725,7.79733728828842,6.03913839390696,0.0565835283663675,6.00382707811148,6.37799132690588,7.76493792001777,0.111031312388744,3.72246602447109,3.10601323762212,6.82781902461732,1.0071955014042,4.96393645214449,6.14506601418589,6.56696732900612,2.5385381636298,4.56803210477128,5.70708299177171
"ACH-000696",7.0756395885786,5.53013318439181,4.67185946824748,5.23189316164533,0.526068811667588,4.56985560833095,4.83390207666916,10.0621810888492,4.41616416473313,4.87135084063403,4.86839045305445,7.10055722078293,0.687060688339892,4.94110631094643,7.40181816308764,0.0285691521967709,5.12308675098106,5.17112674665207,5.34801990922869,7.82521321776001,4.45022149589718,5.61618123133188,5.03826057517535,7.54681730835732,8.64075105622083,2.13093086982645,5.62964804418744,5.01212167271222,5.28429202639431,5.02989454966334,6.52841503927998,4.63575439127776,12.8739246744734,4.71424551766612,3.7311832415722,9.90764180366553,4.70597790168252,4.63401235640212,6.50541460934675,8.40522657537736,0.263034405833794,8.90896298055972,10.7823430340495,2.32192809488736,1.83995958748953,5.87578006306849,4.90496571868403,4.51727569320958,6.22958792274065,4.87970576628229,4.78135971352466,5.3885339790918,1.43829285157915,6.48510476108097,3.31903981556254,3.66562016406638,7.68236260803857,5.72574115650395,0.485426827170242,6.91253011432308,5.90977310414164,6.56315813040281,1.15704371014558,4.85748342828667,3.90496571868403,6.84924870276441,1.09761079662642,4.01703108052784,6.17632277264046,7.65105169117893,4.50969584193339,4.72955277045397,4.790772037862
"ACH-000699",6.79986441088185,4.76765479823735,3.22804904788446,4.74308405554959,0.659924558402378,4.56071495447448,1.04264433740849,10.2719298439709,4.91886323727459,4.72246602447109,4.77663042305105,6.56788004205273,0.0143552929770701,4.854993016757,5.94368695159709,0.0285691521967709,5.23342794374847,6.51222688651396,5.85099939471647,8.12272447934225,4.09676785471469,5.17951105027151,4.96670731415032,9.14356178587837,1.66902676550963,0.632268215499513,5.22804904788446,3.33628338786443,0.238786859587116,5.01836711554312,7.4523648064487,5.10559427579519,12.133527564771,5.04264433740849,3.78555055173926,10.5046203924036,2.91647664443772,5.78293270482084,6.39557697654977,8.03842520687726,1.41683974191283,7.66796306639716,10.4502833667846,4.45680614923047,5.02856915219677,7.25417828621676,4.17712050284652,7.88533031547617,7.3819754785573,4.71589337054761,3.77082904603249,5.39197388306029,2.26303440583379,6.14974711950468,3.5668151540109,3.35614381022528,8.11753921321731,5.66618848987278,0.356143810225275,6.31686980506433,6.36824452637684,4.75167794568758,0.641546029087524,4.38956681176273,3.82883464946806,4.73009646559547,0.871843648509318,5.50430258316317,5.94251450533924,6.61176256006487,5.26228280642066,5.44095219802964,5.34447345945636
"ACH-000701",6.28872767951457,6.27779882101033,3.73552217729654,4.66163560233596,7.84724530714181,4.46988597627446,5.66163560233596,10.0734721539765,3.67129337248158,6.09148827976428,5.18982455888002,7.36334632097502,0.0143552929770701,4.94110631094643,7.86071454954969,0.0285691521967709,5.86492897228979,6.10706011020335,5.18229502502548,8.11701966011429,4.46270675067016,6.76633013095037,6.08555212720929,6.53091348352971,5.28872767951457,5.07253459972295,3.49569516262407,3.69265037003553,3.13914201914569,3.78345665436024,6.07980475463526,4.21334728173344,12.970932722075,5.4036085835437,3.95512678126137,6.56163163037584,3.67694435910691,4.56985560833095,6.1243281350022,7.61367897944763,0.286881147788162,8.22501458261165,9.23811808269449,2.36457243229586,3.85399564717639,6.32768736417605,5.90616906769106,2.54596836910529,6.78594281939225,6.27872821293894,3.56071495447448,4.90689059560852,3.20320115631661,6.56574947936884,2.89917563048051,3.84398384404833,6.62527048937469,5.75808993420181,0.0426443374084937,5.30085587126876,0.238786859587116,6.47443604325227,1.1243281350022,3.51853513898218,3.70597790168252,5.32660925100527,5.99344793233148,4.11769504266975,5.19888699095693,4.86591881455221,3.4905701304462,3.97727992349992,6.31596466980603
"ACH-000704",6.61955973778249,4.59454854955035,3.28243980500639,6.14995030168105,6.62366205202674,4.18030701996943,1.85199883711245,9.47447660428354,4.28835856219366,5.50303064564116,5.33163356717103,6.8963929564709,0,4.43028527297778,8.19529837890182,0.0143552929770701,4.98458935036246,4.92789645372882,5.03650333373899,7.78227750019497,5.28651155766423,6.16249203693753,6.10936055940423,3.16027483140859,0.75702324650746,0.485426827170242,4.19534759832222,3.58135124716878,2.38681094647222,4.10517519226548,5.53667461756976,4.43895814789755,12.2834646088421,5.04045412134962,4.15055967657538,3.98732086592925,0.321928094887362,5.28762004411207,6.90315881111987,8.52595140006704,0.485426827170242,7.94632147710713,10.4717768090571,1.17632277264046,3.83995958748953,5.65019012349677,5.71506967937999,4.60703434594862,6.20261362014849,4.69320814891002,3.34908214639109,4.56071495447448,3.36317107711924,7.19446139173748,2.64846544302731,2.97819562968165,6.33019983285091,5.29241366782748,0,6.33342373372519,3.02502879449152,6.93640237772506,1.50589092972996,3.71808758396052,3.31324585178756,5.59544398458948,0.432959407276106,4.26153081524341,5.35579154675365,5.68537955195908,3.94110631094643,4.4235781709818,5.64385618977472
