"","CDH2","AKT3","BCL2L11","RAD50","CDKN1B","CHEK1","CHEK2","COL6A1","CLDN7","MAPK14","CTNNB1","EGFR","EIF4EBP1","ERBB2","ERBB3","AKT1","AKT2","ESR1","FOXM1","FN1","MTOR","GAPDH","GATA3","GSK3A","GSK3B","BIRC2","AR","ARAF","JUN","MRE11","MYH11","ATM","YBX1","SERPINE1","PCNA","PGR","MAPK1","MAPK3","MAPK8","MAP2K1","BAD","PTEN","BAK1","BAX","RAD51","RAF1","RB1","BCL2","BCL2L1","RPS6","RPS6KA1","RPS6KB1","BID","SHC1","RBM15","SRC","BRCA2","TP53","TP53BP1","TSC2","XRCC1","XRCC5","CASP7","AKT1S1","CAV1","RAB11A","INPP4B","CCNB1","CCNE1","CCNE2","RAB11B","CDK1","CDH1"
"ACH-000116",1.4189596954951,1.1081971913765,0.933565753522105,0.952703620962595,0.825355621617736,1.01418505765634,0.945673525518379,0.931704205324667,0.537144708119552,0.92767738780114,0.970389253394633,0.552301052846698,0.657184773486579,0.936526808211044,1.11679619923155,1.23128630605377,1.14659522413423,0.910353368896974,1.147434339407,0.922477200084628,0.938796935422691,1.147434339407,0.64838062200492,1.14659522413423,0.911977709380959,1.568002737628,0.515411767297904,0.873521494309856,1.24589319959662,1.34205559198325,0.947079680795836,1.01418505765634,1.24589319959662,0.914949399059894,1.29522574422885,1.568002737628,0.945673525518379,1.21853087779695,0.887163845959217,1.30814263169305,1.25903913368092,0.930695979877692,0.92767738780114,1.299148381139,0.939232767904176,0.978358790034765,0.541730510782837,0.988096515861078,1.85209296689411,1.23949081378274,0.938796935422691,0.949260865796466,0.945673525518379,1.23471072805681,1.24589319959662,0.93067078419622,0.923862066887347,0.537144708119552,0.939232767904176,0.947079680795836,1.14659522413423,0.922477200084628,0.930695979877692,1.11982636346558,0.571566840141392,1.30814263169305,0.964521756055337,0.54337829411259,1.25836333883077,0.852906907033652,0.949553051551336,0.989193776566487,1.01651900251234
"ACH-000117",0.721635722574154,1.2368367763616,1.02933327338641,1.11576401497635,0.681837035683793,0.998844463138716,0.756952098616819,0.735874414063839,0.761740967638512,1.22542194608331,0.750341267666956,0.734610683683689,0.706272285745748,4.22985425163119,1.17787181943732,1.02492007628998,1.36218407545393,1.10310909553887,0.681837035683793,0.776234672300543,0.76394706732053,0.681837035683793,0.992299163160237,1.36218407545393,1.09734615446152,0.998844463138716,1.08534340267844,1.08534340267844,0.697345774979096,0.998844463138716,1.02057870639464,0.998844463138716,0.745383145125919,1.15453842387437,0.742245013824135,0.998844463138716,0.756952098616819,1.02057870639464,0.992299163160237,0.977703009392318,1.04012543448491,0.992299163160237,1.22542194608331,1.36218407545393,0.977703009392318,0.996666360447288,1.04988004273175,0.721635722574154,1.22922536711224,0.522219713778715,0.745383145125919,2.09828001386898,0.756952098616819,1.22431538184611,1.22431538184611,0.744691000921886,1.04988004273175,0.761740967638512,0.977703009392318,1.02057870639464,1.36218407545393,0.776234672300543,0.992299163160237,1.36218407545393,1.15453842387437,0.977703009392318,1.09466604540232,1.11576401497635,1.36218407545393,0.953176407014004,0.772215431189726,0.992299163160237,1.02057870639464
"ACH-000123",1.00475681626041,1.01587792384071,1.01312819353025,1.02230226156756,1.02487532346282,1.02363549203661,1.02254443983733,1.01844036553086,1.0310490857429,1.01641989013029,1.02067911191014,1.02342412715054,1.01955728907446,1.02420825859523,1.02394954618521,1.01711533427211,1.02344394133503,1.01641989013029,1.02153384783895,1.0043008917538,1.03555306051642,1.02153384783895,1.01893920459955,1.02344394133503,1.02067911191014,1.02363549203661,1.00468959726931,1.00468959726931,1.02552080938541,1.02363549203661,1.02266833662314,1.02363549203661,1.02552080938541,1.02342412715054,1.03073047646996,1.02363549203661,1.02254443983733,1.02266833662314,1.01893920459955,1.02057160727186,1.02363549203661,1.01893920459955,1.01641989013029,1.02344394133503,1.02057160727186,1.02067911191014,1.0194133840869,1.00475681626041,1.03073047646996,1.02060101814443,1.02552080938541,1.02420825859523,1.02254443983733,1.02552080938541,1.02552080938541,1.03073047646996,1.0194133840869,1.0310490857429,1.02057160727186,1.02266833662314,1.02344394133503,1.0043008917538,1.01893920459955,1.02344394133503,1.02342412715054,1.02057160727186,1.02565818280776,1.02230226156756,1.02344394133503,1.01955728907446,1.02344394133503,1.01893920459955,1.02266833662314
"ACH-000132",1.11701446109631,0.845081971737377,0.911843244375324,1.14165699933128,1.32142565279836,0.658487978784055,0.871104930874162,0.714919723520091,0.731797744853673,0.895748160529166,1.29834238036274,1.04279909248277,0.667608660990964,0.912672749864829,0.984411637109033,1.02380978900041,0.688446156219335,0.804078966167305,1.54962449118093,1.04813205037944,1.21532232512275,1.32142565279836,0.660654352930106,0.688446156219335,0.973920072903899,1.41702419784659,1.30564857019882,0.401501160651528,1.24322878763146,1.41702419784659,0.871124875010094,1.08626786896442,1.24322878763146,0.618116052177808,1.12905529621219,1.41702419784659,0.871104930874162,0.871124875010094,0.664457178333334,0.675144218490009,1.0848226973411,1.05811844836104,0.895748160529166,0.688446156219335,0.669526794597061,1.29002625846171,1.08357421640783,0.61395186615012,0.913265919884026,0.657870359185609,0.876747366254272,1.14160396429462,0.871104930874162,1.19445604138111,1.08672500827626,0.913265919884026,1.12988270027793,0.731797744853673,0.669526794597061,0.871124875010094,0.688446156219335,1.04813205037944,0.95052070731489,1.11415128247953,1.02940570414756,0.675144218490009,0.667097963211194,0.855662694112151,1.09615031493939,1.06549429378952,1.15715219859875,1.05811844836104,0.99922171004516
"ACH-000147",0.822569603079842,1.11156477969698,0.93134743297989,1.10329778047496,0.421455005365604,1.41152282624154,0.813504089932123,1.05591162648496,0.834044468971668,1.15699996263806,1.16764528054194,1.24787389285197,1.21926382772025,1.08917904096401,1.21275185796739,1.31106581636031,0.821669982006369,0.867593162817212,1.00021601616974,0.93134743297989,0.799334351817112,0.421455005365604,1.32942874086352,0.821669982006369,1.0995270986706,1.08356735058116,0.462766528936399,0.831529349652609,0.828440412967649,1.08356735058116,1.09664164318737,1.08356735058116,0.822652173704869,0.830296867719289,1.10500012248824,1.08356735058116,0.795847643160311,1.09664164318737,1.35694160571711,0.947710838294345,1.08356735058116,1.33080190168333,1.15699996263806,0.829524355957446,0.947710838294345,1.31617546429631,0.811372713081076,0.822569603079842,1.31196027496404,0.818172289470771,0.808210902941152,1.08917904096401,0.795847643160311,1.11156477969698,0.821779409179853,1.31196027496404,0.811372713081076,0.834044468971668,0.947710838294345,1.09664164318737,0.829524355957446,0.868246846955445,0.808240069238746,0.829524355957446,0.830296867719289,0.947710838294345,0.826998823119082,1.10329778047496,0.803555684740203,1.21870938373025,0.803555684740203,1.35694160571711,1.08337987198255
"ACH-000148",1.10880097928392,0.869255200254042,1.04631949970338,1.092534562481,0.879365598969999,1.11943015936474,1.30855342522417,1.11770284458817,1.1219217400227,1.30191415307258,1.10824866033111,1.1422393975124,1.32628036079275,0.881560555520107,0.879365598969999,0.882505539190423,1.09655805910038,0.858744335390668,0.879365598969999,1.04631949970338,1.13193882192112,0.879365598969999,0.868949301759668,1.09655805910038,1.31534384665764,1.11943015936474,0.528437782103705,0.528437782103705,1.14528908878062,1.11943015936474,0.836180246690699,1.11943015936474,1.14528908878062,1.1422393975124,1.14482179176743,1.11943015936474,1.30855342522417,0.836180246690699,0.868949301759668,0.865245397889104,1.11916517543616,0.868949301759668,1.30191415307258,1.08775404307595,0.868467987346132,1.13893298291951,0.852326374083104,1.10880097928392,1.14482179176743,0.874512484986365,1.14528908878062,0.878778362851412,1.30855342522417,0.867728752419103,1.14528908878062,1.14482179176743,0.852326374083104,1.1219217400227,0.868467987346132,0.836180246690699,1.08775404307595,1.04631949970338,0.868949301759668,1.08775404307595,1.1422393975124,0.865245397889104,0.871859866922469,0.876292046071136,1.09655805910038,1.59060800930803,1.09655805910038,0.868949301759668,0.847484618023055
"ACH-000196",0.910098364368026,1.44904351364084,1.11451557311653,0.803719262932047,0.461828317722811,0.970322665090991,1.05733331571094,0.822595242773621,0.733768324499294,1.04930887260224,1.19764168077276,0.946173664498926,1.06914706396679,1.27070233301755,1.00730741321051,0.844734460783821,2.10444715394466,1.11797353113394,0.811733677624466,0.993947748403373,0.482481828269914,0.811733677624466,1.02148463011275,0.741353764489227,1.02105949742337,0.970322665090991,0.466320633097047,0.354737790951615,1.03134171423501,0.970322665090991,0.902348830534839,0.970322665090991,1.08770532918655,1.09098087999422,0.704341167230099,0.970322665090991,1.05733331571094,0.964961598177969,1.02148463011275,1.20160411782731,1.00717274242431,1.02148463011275,1.04930887260224,0.741353764489227,0.986645387853654,1.19764168077276,0.871095865467764,0.898888549433226,1.18287945192533,0.93171514788004,0.838588920356232,1.23123865945097,1.05733331571094,1.70448739015651,1.0339109065742,1.18287945192533,0.871095865467764,0.733768324499294,0.986645387853654,0.902348830534839,0.741353764489227,0.993947748403373,0.73450255541589,0.741353764489227,1.09098087999422,1.20160411782731,0.747783632037534,0.800698583461131,2.40122876944034,1.43738228687987,0.956092672381091,1.02148463011275,0.964961598177969
"ACH-000212",0.853888358522593,1.27217081548506,1.08853154503685,1.21651030296581,1.34886504562017,1.12103281979634,0.779692946159283,1.17482380516531,0.926321134245414,1.13308205480584,0.574522966018361,0.871611796366596,2.41308762690401,0.933286590955684,0.801986940923083,0.923034749629348,1.0696454184653,0.825627504717257,1.34886504562017,1.08337195083097,1.0492416900112,1.34886504562017,1.2022372580994,1.0696454184653,1.01662520173651,1.12103281979634,0.757451519526709,0.809412088200683,1.11859271446829,1.12103281979634,1.20860083120231,1.12103281979634,1.11859271446829,0.963159725362398,0.903513693658496,1.12103281979634,0.779692946159283,1.53221993144607,1.11859217501122,0.938740015105812,0.988992317088058,0.772982511418159,1.13308205480584,1.0696454184653,0.791800291145554,1.13569987933672,0.72235114962012,0.853888358522593,1.3463712446227,0.763940078355788,0.54801923379438,0.933286590955684,0.779692946159283,0.840753147857839,1.11859271446829,1.3463712446227,0.72235114962012,0.926321134245414,0.791800291145554,0.97896856746987,1.0696454184653,1.08337195083097,0.772982511418159,0.96369901543389,0.963159725362398,0.938740015105812,0.977735495789899,1.22258528855914,1.71362225480943,1.06622553077913,1.05205552293974,1.36027487248986,1.01520882985428
"ACH-000223",1.29023904962714,0.850517473245871,1.01448145915709,1.18800572606669,1.29318015232136,0.999909502838524,0.881186150023685,0.694743543051156,0.999480593533365,1.10589932973349,0.663527624392263,1.26860249109836,0.786922179188619,1.01926746653927,0.823946292897643,1.05988501017559,1.0901512985821,0.724615206465442,1.29318015232136,0.698671034678746,0.879434972780664,1.29318015232136,0.864528900906789,1.0901512985821,1.0337185513602,0.930191208085219,0.570538819706677,0.885055986252501,1.22550379066296,0.930191208085219,0.9725467806023,0.930191208085219,0.879434972780664,0.881980813349292,1.57492935904756,0.930191208085219,0.881186150023685,1.47621636613856,0.634625878315216,0.982805205538526,1.16423063659877,0.00015561627417707,1.10589932973349,1.0901512985821,0.982805205538526,1.07559585120845,0.380795918006259,0.361373358669193,1.26084469508472,0.814841875540141,0.879434972780664,0.90452265687844,0.804766667034794,1.03405416572474,1.15852511801764,1.26084469508472,0.832903088900784,0.999480593533365,0.982805205538526,0.827757805441484,1.0901512985821,0.698671034678746,0.647040857251176,1.0901512985821,0.881980813349292,0.982805205538526,1.06263945360319,0.863799772744528,1.05661815501081,1.52199419618112,0.916131553551342,0.646126998805697,1.38435721478662
"ACH-000237",0.895021273757118,0.851035605783091,0.735152306631502,0.884114063296477,1.29062094598868,0.697280617325764,0.869178265732019,0.71805971973133,1.13988639441934,1.12292848413265,1.1397771569176,0.77795214757412,1.15232948418973,1.14207258751548,1.03189495272425,1.41512150439233,1.07049224735948,1.14442581017777,1.26909448377003,0.743049730438701,1.03327510220974,1.26909448377003,1.14147111042242,1.07710639765076,1.14152578156963,1.48562168026599,1.00060012476649,1.00060012476649,1.03937302810925,1.30259783769931,0.925006526937648,1.99493109852402,1.03937302810925,0.780372456830443,1.29298718570263,1.06348826909596,0.912852312897073,0.930318570898868,1.11096428863403,1.02196469936554,1.03097555453997,0.84658803183478,1.12292848413265,1.08105641875494,1.00897776123295,1.14892215066193,0.882374222130186,0.888796450891157,1.27606884307137,0.891605261272253,1.03937302810925,1.14349508679606,0.872758702531325,0.838361044543091,1.02755828241749,1.27606884307137,0.882374222130186,1.13835769481251,1.01144504023508,0.925006526937648,1.07710639765076,0.743049730438701,0.84658803183478,1.08105641875494,0.78695244992124,1.02196469936554,0.869766714684009,0.886315309086922,1.07884320946936,1.14914177958224,0.720493826382381,1.14398776088348,0.923587338884988
